event_id,event_type,failure_type,payment_method,retry_count,amount,customer_id,merchant_id,checkout_duration_seconds,payment_page_reached,payment_attempted,chosen_action,revenue_recovered,success,oracle_action,oracle_recovered,regret,action_match
EVT_00000273,CHECKOUT_ABANDONMENT,,CARD,0,1176.79,CUS_000529,MER_00133,49,True,False,RECOVERY_REMINDER,1176.79,1.0,ALTERNATIVE_PAYMENT,1176.79,0.0,False
EVT_00000275,CHECKOUT_ABANDONMENT,,UPI,0,1192.56,CUS_001812,MER_00192,152,True,False,RECOVERY_REMINDER,1192.56,1.0,ALTERNATIVE_PAYMENT,1192.56,0.0,False
EVT_00000278,PAYMENT_FAILURE,BANK_TECHNICAL_ERROR,NETBANKING,0,4748.86,CUS_000097,MER_00115,0,False,False,ALTERNATIVE_PAYMENT,4748.86,1.0,ALTERNATIVE_PAYMENT,4748.86,0.0,True
EVT_00000282,CHECKOUT_ABANDONMENT,,CARD,0,1453.31,CUS_000210,MER_00162,37,True,False,RECOVERY_REMINDER,1453.31,1.0,ALTERNATIVE_PAYMENT,1453.31,0.0,False
EVT_00000288,PAYMENT_FAILURE,TIMEOUT,NETBANKING,2,2726.27,CUS_001024,MER_00122,0,False,False,ALTERNATIVE_PAYMENT,0.0,0.0,ALTERNATIVE_PAYMENT,0.0,0.0,True
EVT_00000299,PAYMENT_FAILURE,TIMEOUT,CARD,0,4674.0,CUS_001093,MER_00041,0,False,False,ALTERNATIVE_PAYMENT,0.0,0.0,RECOVERY_REMINDER,4674.0,4674.0,False
EVT_00000304,PAYMENT_FAILURE,EXPIRED_PAYMENT_METHOD,CARD,3,5760.44,CUS_000778,MER_00195,0,False,False,ALTERNATIVE_PAYMENT,0.0,0.0,ALTERNATIVE_PAYMENT,0.0,0.0,True
EVT_00000333,PAYMENT_FAILURE,NETWORK_ERROR,CARD,2,2647.12,CUS_001322,MER_00124,0,False,False,ALTERNATIVE_PAYMENT,0.0,0.0,RECOVERY_REMINDER,2647.12,2647.12,False
EVT_00000337,CHECKOUT_ABANDONMENT,,UPI,0,1384.46,CUS_001322,MER_00056,535,True,False,RECOVERY_REMINDER,0.0,0.0,ALTERNATIVE_PAYMENT,1384.46,1384.46,False
EVT_00000339,PAYMENT_FAILURE,BANK_TECHNICAL_ERROR,UPI,1,5517.13,CUS_001813,MER_00126,0,False,False,ALTERNATIVE_PAYMENT,5517.13,1.0,ALTERNATIVE_PAYMENT,5517.13,0.0,True
EVT_00000352,CHECKOUT_ABANDONMENT,,UPI,0,1059.31,CUS_001218,MER_00042,191,True,False,RECOVERY_REMINDER,1059.31,1.0,RECOVERY_REMINDER,1059.31,0.0,True
EVT_00000353,CHECKOUT_ABANDONMENT,,CARD,0,5508.83,CUS_001455,MER_00003,543,True,False,RECOVERY_REMINDER,5508.83,1.0,ALTERNATIVE_PAYMENT,5508.83,0.0,False
EVT_00000370,PAYMENT_FAILURE,ISSUER_DECLINE,UPI,0,3208.09,CUS_001782,MER_00084,0,False,False,ALTERNATIVE_PAYMENT,3208.09,1.0,ALTERNATIVE_PAYMENT,3208.09,0.0,True
EVT_00000380,PAYMENT_FAILURE,BANK_TECHNICAL_ERROR,UPI,2,3344.75,CUS_001807,MER_00048,0,False,False,ALTERNATIVE_PAYMENT,3344.75,1.0,ALTERNATIVE_PAYMENT,3344.75,0.0,True
EVT_00000385,CHECKOUT_ABANDONMENT,,CARD,0,29917.74,CUS_000660,MER_00100,99,True,False,RECOVERY_REMINDER,29917.74,1.0,ALTERNATIVE_PAYMENT,29917.74,0.0,False
EVT_00000394,CHECKOUT_ABANDONMENT,,CARD,0,947.77,CUS_000687,MER_00155,120,False,False,RECOVERY_REMINDER,947.77,1.0,ALTERNATIVE_PAYMENT,947.77,0.0,False
EVT_00000395,PAYMENT_FAILURE,ISSUER_DECLINE,WALLET,3,5246.71,CUS_001400,MER_00150,0,False,False,ALTERNATIVE_PAYMENT,5246.71,1.0,ALTERNATIVE_PAYMENT,5246.71,0.0,True
EVT_00000399,CHECKOUT_ABANDONMENT,,CARD,0,3885.6,CUS_001222,MER_00165,638,True,False,RECOVERY_REMINDER,3885.6,1.0,ALTERNATIVE_PAYMENT,3885.6,0.0,False
EVT_00000408,SUBSCRIPTION_FAILURE,,CARD,0,3083.8,CUS_001815,MER_00004,0,False,False,ALTERNATIVE_PAYMENT,0.0,0.0,RECOVERY_REMINDER,3083.8,3083.8,False
EVT_00000409,PAYMENT_FAILURE,PAYMENT_LIMIT,CARD,1,5247.99,CUS_001441,MER_00019,0,False,False,ALTERNATIVE_PAYMENT,0.0,0.0,RETRY_LATER,5247.99,5247.99,False
EVT_00000455,SUBSCRIPTION_FAILURE,,UPI,0,7282.38,CUS_000847,MER_00062,0,False,False,ALTERNATIVE_PAYMENT,0.0,0.0,ALTERNATIVE_PAYMENT,0.0,0.0,True
EVT_00000457,PAYMENT_FAILURE,PAYMENT_LIMIT,UPI,2,1576.37,CUS_001652,MER_00129,0,False,False,ALTERNATIVE_PAYMENT,0.0,0.0,ALTERNATIVE_PAYMENT,0.0,0.0,True
EVT_00000482,CHECKOUT_ABANDONMENT,,UPI,0,5449.91,CUS_000778,MER_00079,863,False,False,RECOVERY_REMINDER,5449.91,1.0,RECOVERY_REMINDER,5449.91,0.0,True
EVT_00000497,SUBSCRIPTION_FAILURE,,CARD,0,3533.28,CUS_000403,MER_00135,0,False,False,ALTERNATIVE_PAYMENT,0.0,0.0,ALTERNATIVE_PAYMENT,0.0,0.0,True
EVT_00000517,SUBSCRIPTION_FAILURE,,UPI,0,5808.8,CUS_001423,MER_00122,0,False,False,ALTERNATIVE_PAYMENT,5808.8,1.0,ALTERNATIVE_PAYMENT,5808.8,0.0,True
EVT_00000523,PAYMENT_FAILURE,INSUFFICIENT_BALANCE,NETBANKING,3,2427.26,CUS_000862,MER_00116,0,False,False,ALTERNATIVE_PAYMENT,0.0,0.0,ALTERNATIVE_PAYMENT,0.0,0.0,True
EVT_00000527,PAYMENT_FAILURE,TIMEOUT,NETBANKING,1,6567.81,CUS_001764,MER_00105,0,False,False,ALTERNATIVE_PAYMENT,6567.81,1.0,ALTERNATIVE_PAYMENT,6567.81,0.0,True
EVT_00000531,PAYMENT_FAILURE,ISSUER_DECLINE,WALLET,1,24040.29,CUS_001162,MER_00092,0,False,False,ALTERNATIVE_PAYMENT,0.0,0.0,ALTERNATIVE_PAYMENT,0.0,0.0,True
EVT_00000547,PAYMENT_FAILURE,INSUFFICIENT_BALANCE,CARD,3,1431.32,CUS_000461,MER_00126,0,False,False,ALTERNATIVE_PAYMENT,1431.32,1.0,ALTERNATIVE_PAYMENT,1431.32,0.0,True
EVT_00000564,SUBSCRIPTION_FAILURE,,UPI,0,5569.08,CUS_000787,MER_00178,0,False,False,ALTERNATIVE_PAYMENT,5569.08,1.0,ALTERNATIVE_PAYMENT,5569.08,0.0,True
EVT_00000581,PAYMENT_FAILURE,NETWORK_ERROR,UPI,0,9786.74,CUS_000369,MER_00069,0,False,False,ALTERNATIVE_PAYMENT,0.0,0.0,RETRY_LATER,9786.74,9786.74,False
EVT_00000583,PAYMENT_FAILURE,INSUFFICIENT_BALANCE,NETBANKING,0,723.45,CUS_001351,MER_00182,0,False,False,ALTERNATIVE_PAYMENT,723.45,1.0,ALTERNATIVE_PAYMENT,723.45,0.0,True
EVT_00000611,PAYMENT_FAILURE,PAYMENT_LIMIT,UPI,2,9815.59,CUS_001817,MER_00091,0,False,False,ALTERNATIVE_PAYMENT,9815.59,1.0,ALTERNATIVE_PAYMENT,9815.59,0.0,True
EVT_00000617,CHECKOUT_ABANDONMENT,,UPI,0,2789.82,CUS_000142,MER_00082,672,True,False,RECOVERY_REMINDER,2789.82,1.0,ALTERNATIVE_PAYMENT,2789.82,0.0,False
EVT_00000621,SUBSCRIPTION_FAILURE,,UPI,0,1785.43,CUS_000595,MER_00030,0,False,False,ALTERNATIVE_PAYMENT,0.0,0.0,RETRY_LATER,1785.43,1785.43,False
EVT_00000627,CHECKOUT_ABANDONMENT,,UPI,0,987.9,CUS_000970,MER_00047,424,True,False,RECOVERY_REMINDER,987.9,1.0,ALTERNATIVE_PAYMENT,987.9,0.0,False
EVT_00000628,CHECKOUT_ABANDONMENT,,CARD,0,18101.16,CUS_000244,MER_00144,470,True,False,RECOVERY_REMINDER,0.0,0.0,ALTERNATIVE_PAYMENT,18101.16,18101.16,False
EVT_00000633,PAYMENT_FAILURE,PAYMENT_LIMIT,CARD,1,3000.73,CUS_000424,MER_00124,0,False,False,ALTERNATIVE_PAYMENT,0.0,0.0,ALTERNATIVE_PAYMENT,0.0,0.0,True
EVT_00000634,CHECKOUT_ABANDONMENT,,CARD,0,4215.38,CUS_000759,MER_00001,527,True,False,RECOVERY_REMINDER,4215.38,1.0,ALTERNATIVE_PAYMENT,4215.38,0.0,False
EVT_00000642,PAYMENT_FAILURE,ISSUER_DECLINE,UPI,3,12163.7,CUS_001091,MER_00175,0,False,False,ALTERNATIVE_PAYMENT,12163.7,1.0,ALTERNATIVE_PAYMENT,12163.7,0.0,True
EVT_00000653,PAYMENT_FAILURE,INSUFFICIENT_BALANCE,CARD,2,5343.62,CUS_001974,MER_00091,0,False,False,ALTERNATIVE_PAYMENT,0.0,0.0,ALTERNATIVE_PAYMENT,0.0,0.0,True
EVT_00000655,PAYMENT_FAILURE,PAYMENT_LIMIT,CARD,2,1203.16,CUS_000723,MER_00027,0,False,False,ALTERNATIVE_PAYMENT,0.0,0.0,RECOVERY_REMINDER,1203.16,1203.16,False
EVT_00000677,CHECKOUT_ABANDONMENT,,CARD,0,6931.08,CUS_000941,MER_00063,199,True,False,RECOVERY_REMINDER,6931.08,1.0,ALTERNATIVE_PAYMENT,6931.08,0.0,False
EVT_00000687,CHECKOUT_ABANDONMENT,,WALLET,0,3792.0,CUS_001018,MER_00078,222,True,False,RECOVERY_REMINDER,3792.0,1.0,RECOVERY_REMINDER,3792.0,0.0,True
EVT_00000697,PAYMENT_FAILURE,PAYMENT_LIMIT,UPI,3,4606.78,CUS_000118,MER_00033,0,False,False,ALTERNATIVE_PAYMENT,0.0,0.0,ALTERNATIVE_PAYMENT,0.0,0.0,True
EVT_00000698,PAYMENT_FAILURE,INSUFFICIENT_BALANCE,CARD,1,36193.4,CUS_000670,MER_00128,0,False,False,ALTERNATIVE_PAYMENT,0.0,0.0,RECOVERY_REMINDER,36193.4,36193.4,False
EVT_00000708,CHECKOUT_ABANDONMENT,,UPI,0,11292.61,CUS_001738,MER_00082,77,True,False,RECOVERY_REMINDER,11292.61,1.0,RECOVERY_REMINDER,11292.61,0.0,True
EVT_00000709,PAYMENT_FAILURE,TIMEOUT,UPI,0,3375.11,CUS_001761,MER_00073,0,False,False,ALTERNATIVE_PAYMENT,0.0,0.0,RECOVERY_REMINDER,3375.11,3375.11,False
EVT_00000710,SUBSCRIPTION_FAILURE,,UPI,0,21822.29,CUS_000119,MER_00067,0,False,False,ALTERNATIVE_PAYMENT,21822.29,1.0,ALTERNATIVE_PAYMENT,21822.29,0.0,True
EVT_00000716,SUBSCRIPTION_FAILURE,,UPI,0,8078.25,CUS_000375,MER_00141,0,False,False,ALTERNATIVE_PAYMENT,8078.25,1.0,ALTERNATIVE_PAYMENT,8078.25,0.0,True
EVT_00000735,PAYMENT_FAILURE,TIMEOUT,CARD,3,4699.11,CUS_001108,MER_00110,0,False,False,ALTERNATIVE_PAYMENT,0.0,0.0,HUMAN_ESCALATION,4699.11,4699.11,False
EVT_00000739,PAYMENT_FAILURE,EXPIRED_PAYMENT_METHOD,NETBANKING,2,1492.09,CUS_001674,MER_00096,0,False,False,ALTERNATIVE_PAYMENT,1492.09,1.0,ALTERNATIVE_PAYMENT,1492.09,0.0,True
EVT_00000743,SUBSCRIPTION_FAILURE,,UPI,0,3359.42,CUS_001157,MER_00158,0,False,False,ALTERNATIVE_PAYMENT,0.0,0.0,RECOVERY_REMINDER,3359.42,3359.42,False
EVT_00000765,PAYMENT_FAILURE,ISSUER_DECLINE,CARD,1,5100.77,CUS_000684,MER_00168,0,False,False,ALTERNATIVE_PAYMENT,5100.77,1.0,ALTERNATIVE_PAYMENT,5100.77,0.0,True
EVT_00000771,PAYMENT_FAILURE,PAYMENT_LIMIT,UPI,3,4592.68,CUS_000782,MER_00064,0,False,False,ALTERNATIVE_PAYMENT,0.0,0.0,ALTERNATIVE_PAYMENT,0.0,0.0,True
EVT_00000774,SUBSCRIPTION_FAILURE,,NETBANKING,0,11488.27,CUS_001162,MER_00007,0,False,False,ALTERNATIVE_PAYMENT,11488.27,1.0,ALTERNATIVE_PAYMENT,11488.27,0.0,True
EVT_00000775,PAYMENT_FAILURE,NETWORK_ERROR,UPI,1,4276.68,CUS_000287,MER_00001,0,False,False,ALTERNATIVE_PAYMENT,0.0,0.0,RECOVERY_REMINDER,4276.68,4276.68,False
EVT_00000778,SUBSCRIPTION_FAILURE,,CARD,0,10870.41,CUS_000160,MER_00049,0,False,False,ALTERNATIVE_PAYMENT,0.0,0.0,HUMAN_ESCALATION,10870.41,10870.41,False
EVT_00000780,SUBSCRIPTION_FAILURE,,NETBANKING,0,3756.14,CUS_001493,MER_00200,0,False,False,ALTERNATIVE_PAYMENT,0.0,0.0,RECOVERY_REMINDER,3756.14,3756.14,False
EVT_00000785,CHECKOUT_ABANDONMENT,,WALLET,0,1446.83,CUS_001318,MER_00019,639,False,False,RECOVERY_REMINDER,1446.83,1.0,RECOVERY_REMINDER,1446.83,0.0,True
EVT_00000794,PAYMENT_FAILURE,TIMEOUT,CARD,3,973.11,CUS_000911,MER_00049,0,False,False,ALTERNATIVE_PAYMENT,0.0,0.0,ALTERNATIVE_PAYMENT,0.0,0.0,True
EVT_00000804,CHECKOUT_ABANDONMENT,,UPI,0,4974.68,CUS_001614,MER_00077,593,False,False,RECOVERY_REMINDER,4974.68,1.0,ALTERNATIVE_PAYMENT,4974.68,0.0,False
EVT_00000805,SUBSCRIPTION_FAILURE,,UPI,0,21441.48,CUS_000156,MER_00051,0,False,False,ALTERNATIVE_PAYMENT,0.0,0.0,RECOVERY_REMINDER,21441.48,21441.48,False
EVT_00000807,PAYMENT_FAILURE,EXPIRED_PAYMENT_METHOD,UPI,2,6120.8,CUS_000107,MER_00083,0,False,False,ALTERNATIVE_PAYMENT,0.0,0.0,ALTERNATIVE_PAYMENT,0.0,0.0,True
EVT_00000815,PAYMENT_FAILURE,ISSUER_DECLINE,CARD,2,8907.68,CUS_001890,MER_00058,0,False,False,ALTERNATIVE_PAYMENT,0.0,0.0,ALTERNATIVE_PAYMENT,0.0,0.0,True
EVT_00000816,PAYMENT_FAILURE,INSUFFICIENT_BALANCE,NETBANKING,0,2081.28,CUS_000869,MER_00052,0,False,False,ALTERNATIVE_PAYMENT,0.0,0.0,RECOVERY_REMINDER,2081.28,2081.28,False
EVT_00000820,CHECKOUT_ABANDONMENT,,UPI,0,26672.3,CUS_000281,MER_00176,541,True,False,RECOVERY_REMINDER,26672.3,1.0,ALTERNATIVE_PAYMENT,26672.3,0.0,False
EVT_00000821,PAYMENT_FAILURE,BANK_TECHNICAL_ERROR,CARD,1,6010.59,CUS_000789,MER_00103,0,False,False,ALTERNATIVE_PAYMENT,6010.59,1.0,ALTERNATIVE_PAYMENT,6010.59,0.0,True
EVT_00000830,PAYMENT_FAILURE,TIMEOUT,CARD,0,7518.66,CUS_001550,MER_00149,0,False,False,ALTERNATIVE_PAYMENT,7518.66,1.0,ALTERNATIVE_PAYMENT,7518.66,0.0,True
EVT_00000847,CHECKOUT_ABANDONMENT,,NETBANKING,0,24952.23,CUS_001338,MER_00115,340,True,False,RECOVERY_REMINDER,24952.23,1.0,ALTERNATIVE_PAYMENT,24952.23,0.0,False
EVT_00000854,CHECKOUT_ABANDONMENT,,UPI,0,9062.97,CUS_001312,MER_00186,215,True,True,RECOVERY_REMINDER,9062.97,1.0,ALTERNATIVE_PAYMENT,9062.97,0.0,False
EVT_00000855,SUBSCRIPTION_FAILURE,,CARD,0,946.39,CUS_001354,MER_00114,0,False,False,ALTERNATIVE_PAYMENT,946.39,1.0,ALTERNATIVE_PAYMENT,946.39,0.0,True
EVT_00000867,SUBSCRIPTION_FAILURE,,UPI,0,11874.22,CUS_001561,MER_00045,0,False,False,ALTERNATIVE_PAYMENT,0.0,0.0,RECOVERY_REMINDER,11874.22,11874.22,False
EVT_00000869,CHECKOUT_ABANDONMENT,,UPI,0,1737.04,CUS_001489,MER_00108,371,False,False,RECOVERY_REMINDER,0.0,0.0,RETRY_LATER,1737.04,1737.04,False
EVT_00000871,SUBSCRIPTION_FAILURE,,WALLET,0,4321.69,CUS_000105,MER_00159,0,False,False,ALTERNATIVE_PAYMENT,4321.69,1.0,ALTERNATIVE_PAYMENT,4321.69,0.0,True
EVT_00000879,PAYMENT_FAILURE,TIMEOUT,UPI,0,1081.91,CUS_000157,MER_00081,0,False,False,ALTERNATIVE_PAYMENT,0.0,0.0,RECOVERY_REMINDER,1081.91,1081.91,False
EVT_00000885,SUBSCRIPTION_FAILURE,,CARD,0,10156.77,CUS_000141,MER_00015,0,False,False,ALTERNATIVE_PAYMENT,0.0,0.0,RETRY_LATER,10156.77,10156.77,False
EVT_00000886,SUBSCRIPTION_FAILURE,,NETBANKING,0,4866.78,CUS_000174,MER_00114,0,False,False,ALTERNATIVE_PAYMENT,0.0,0.0,RETRY_LATER,4866.78,4866.78,False
EVT_00000917,PAYMENT_FAILURE,ISSUER_DECLINE,UPI,2,632.31,CUS_000977,MER_00018,0,False,False,ALTERNATIVE_PAYMENT,632.31,1.0,ALTERNATIVE_PAYMENT,632.31,0.0,True
EVT_00000928,PAYMENT_FAILURE,TIMEOUT,UPI,0,6433.57,CUS_001049,MER_00107,0,False,False,ALTERNATIVE_PAYMENT,6433.57,1.0,ALTERNATIVE_PAYMENT,6433.57,0.0,True
EVT_00000935,SUBSCRIPTION_FAILURE,,CARD,0,7850.41,CUS_001825,MER_00010,0,False,False,ALTERNATIVE_PAYMENT,0.0,0.0,RETRY_LATER,7850.41,7850.41,False
EVT_00000957,PAYMENT_FAILURE,PAYMENT_LIMIT,CARD,0,5237.01,CUS_000610,MER_00167,0,False,False,ALTERNATIVE_PAYMENT,5237.01,1.0,ALTERNATIVE_PAYMENT,5237.01,0.0,True
EVT_00000962,CHECKOUT_ABANDONMENT,,UPI,0,3775.61,CUS_001698,MER_00073,483,True,False,RECOVERY_REMINDER,3775.61,1.0,ALTERNATIVE_PAYMENT,3775.61,0.0,False
EVT_00000967,CHECKOUT_ABANDONMENT,,UPI,0,1609.47,CUS_001437,MER_00078,75,True,False,RECOVERY_REMINDER,1609.47,1.0,RECOVERY_REMINDER,1609.47,0.0,True
EVT_00000969,SUBSCRIPTION_FAILURE,,CARD,0,31574.1,CUS_000976,MER_00060,0,False,False,ALTERNATIVE_PAYMENT,31574.1,1.0,ALTERNATIVE_PAYMENT,31574.1,0.0,True
EVT_00000972,SUBSCRIPTION_FAILURE,,UPI,0,2350.7,CUS_000923,MER_00112,0,False,False,ALTERNATIVE_PAYMENT,0.0,0.0,RETRY_LATER,2350.7,2350.7,False
EVT_00000975,PAYMENT_FAILURE,ISSUER_DECLINE,UPI,2,1395.97,CUS_000073,MER_00086,0,False,False,ALTERNATIVE_PAYMENT,0.0,0.0,ALTERNATIVE_PAYMENT,0.0,0.0,True
EVT_00000978,SUBSCRIPTION_FAILURE,,UPI,0,4572.18,CUS_001189,MER_00063,0,False,False,ALTERNATIVE_PAYMENT,4572.18,1.0,ALTERNATIVE_PAYMENT,4572.18,0.0,True
EVT_00000982,PAYMENT_FAILURE,ISSUER_DECLINE,CARD,0,1816.21,CUS_000098,MER_00187,0,False,False,ALTERNATIVE_PAYMENT,0.0,0.0,RETRY_LATER,1816.21,1816.21,False
EVT_00000983,PAYMENT_FAILURE,TIMEOUT,CARD,1,1565.45,CUS_001409,MER_00179,0,False,False,ALTERNATIVE_PAYMENT,0.0,0.0,HUMAN_ESCALATION,1565.45,1565.45,False
