customer_id,customer_tenure_days,total_transactions,successful_transactions,failed_transactions,historical_success_rate,avg_transaction_amount,previous_recovery_success_rate,days_since_last_success,preferred_payment_method
CUS_000091,669,71,71,0,1.0,10044.32,0.8843,12,CARD
CUS_000092,1213,26,20,6,0.7692,4572.46,0.7656,75,UPI
CUS_000093,1267,64,54,10,0.8438,2316.13,0.6839,75,UPI
CUS_000094,599,16,9,7,0.5625,1658.72,0.6163,80,UPI
CUS_000095,1350,13,10,3,0.7692,2354.67,0.9486,49,UPI
CUS_000096,453,62,44,18,0.7097,6159.18,0.4147,66,UPI
CUS_000097,382,75,56,19,0.7467,5923.69,0.9288,65,WALLET
CUS_000098,1033,68,62,6,0.9118,2371.85,0.662,19,CARD
CUS_000099,966,60,50,10,0.8333,767.57,0.696,47,UPI
CUS_000100,235,20,16,4,0.8,6297.09,0.6657,23,CARD
CUS_000101,1254,73,45,28,0.6164,2194.41,0.7124,67,UPI
CUS_000102,323,53,51,2,0.9623,7809.39,0.5872,87,CARD
CUS_000103,1213,14,12,2,0.8571,2457.61,0.7498,6,WALLET
CUS_000104,40,11,9,2,0.8182,2041.65,0.7129,6,UPI
CUS_000105,1201,69,63,6,0.913,5086.63,0.813,23,UPI
CUS_000106,1186,22,17,5,0.7727,29672.98,0.5848,10,CARD
CUS_000107,1177,61,43,18,0.7049,8193.17,0.8596,0,UPI
CUS_000108,1007,11,11,0,1.0,5018.11,0.8268,88,UPI
CUS_000109,723,23,21,2,0.913,5996.4,0.7188,52,CARD
CUS_000110,1066,23,21,2,0.913,1108.7,0.6428,69,CARD
CUS_000111,437,23,22,1,0.9565,1833.46,0.7983,50,UPI
CUS_000112,1177,54,54,0,1.0,603.71,0.7803,67,NETBANKING
CUS_000113,846,73,71,2,0.9726,17956.94,0.6754,61,UPI
CUS_000114,704,72,69,3,0.9583,15271.47,0.2993,14,UPI
CUS_000115,773,59,58,1,0.9831,6161.57,0.6878,13,CARD
CUS_000116,866,16,15,1,0.9375,5013.68,0.6401,44,CARD
CUS_000117,84,76,71,5,0.9342,1300.57,0.796,33,CARD
CUS_000118,235,43,40,3,0.9302,3775.89,0.8898,75,CARD
CUS_000119,390,44,42,2,0.9545,18877.88,0.9126,27,CARD
CUS_000120,198,56,51,5,0.9107,4998.86,0.4406,29,NETBANKING
CUS_000121,676,61,47,14,0.7705,2864.4,0.6808,47,CARD
CUS_000122,1012,76,62,14,0.8158,1102.54,0.5619,17,UPI
CUS_000123,992,47,39,8,0.8298,13576.25,0.7464,77,CARD
CUS_000124,722,49,39,10,0.7959,4254.64,0.9372,0,UPI
CUS_000125,1286,59,55,4,0.9322,1103.72,0.8909,76,CARD
CUS_000126,860,21,20,1,0.9524,2148.27,0.2807,56,UPI
CUS_000127,146,25,20,5,0.8,1619.39,0.9059,79,CARD
CUS_000128,1154,50,42,8,0.84,4049.86,0.6251,26,CARD
CUS_000129,874,6,6,0,1.0,5311.89,0.8189,81,CARD
CUS_000130,963,26,20,6,0.7692,3008.69,0.7995,77,UPI
CUS_000131,861,57,52,5,0.9123,8378.88,0.5617,41,UPI
CUS_000132,843,78,60,18,0.7692,4792.82,0.8912,25,NETBANKING
CUS_000133,163,42,35,7,0.8333,10526.83,0.8277,17,WALLET
CUS_000134,852,32,26,6,0.8125,3381.51,0.736,13,CARD
CUS_000135,1198,35,32,3,0.9143,51435.98,0.7065,52,UPI
CUS_000136,476,55,45,10,0.8182,2864.77,0.6047,86,UPI
CUS_000137,916,44,35,9,0.7955,2184.56,0.8029,50,CARD
CUS_000138,75,2,2,0,1.0,1979.88,0.451,86,UPI
CUS_000139,540,43,38,5,0.8837,3801.23,0.6823,68,NETBANKING
CUS_000140,671,32,27,5,0.8438,1137.06,0.7445,61,CARD
CUS_000141,1474,56,50,6,0.8929,5695.79,0.7679,65,UPI
CUS_000142,345,70,65,5,0.9286,980.04,0.7933,83,UPI
CUS_000143,436,77,64,13,0.8312,5121.33,0.6037,77,UPI
CUS_000144,630,49,45,4,0.9184,1526.65,0.7518,14,CARD
CUS_000145,1489,29,28,1,0.9655,3316.94,0.7474,52,CARD
CUS_000146,1284,36,32,4,0.8889,7298.8,0.601,41,UPI
CUS_000147,80,14,13,1,0.9286,28426.09,0.3665,79,CARD
CUS_000148,373,74,67,7,0.9054,1899.66,0.7169,18,UPI
CUS_000149,1237,67,66,1,0.9851,3990.13,0.3616,73,CARD
CUS_000150,115,68,55,13,0.8088,2522.05,0.8067,43,NETBANKING
CUS_000151,1287,26,24,2,0.9231,2243.82,0.5273,83,UPI
CUS_000152,443,26,25,1,0.9615,2539.83,0.7856,71,UPI
CUS_000153,1378,68,59,9,0.8676,8700.07,0.7827,31,NETBANKING
CUS_000154,461,44,39,5,0.8864,3045.4,0.9114,76,UPI
CUS_000155,668,56,54,2,0.9643,27208.45,0.8072,16,UPI
CUS_000156,1003,39,33,6,0.8462,6276.8,0.6529,0,NETBANKING
CUS_000157,215,35,29,6,0.8286,2005.85,0.5738,45,CARD
CUS_000158,848,50,44,6,0.88,3355.88,0.7314,35,WALLET
CUS_000159,772,65,58,7,0.8923,2369.31,0.9475,11,CARD
CUS_000160,1182,27,23,4,0.8519,8534.63,0.897,89,CARD
CUS_000161,1494,64,52,12,0.8125,1212.95,0.9718,3,UPI
CUS_000162,1006,20,19,1,0.95,1539.28,0.7761,53,UPI
CUS_000163,631,32,31,1,0.9688,2803.42,0.5499,23,CARD
CUS_000164,627,73,68,5,0.9315,7771.28,0.6798,26,UPI
CUS_000165,644,76,59,17,0.7763,12067.62,0.8304,18,CARD
CUS_000166,1226,73,70,3,0.9589,13578.82,0.8231,35,UPI
CUS_000167,502,25,23,2,0.92,6875.19,0.5135,60,UPI
CUS_000168,275,67,62,5,0.9254,4211.28,0.9018,29,CARD
CUS_000169,521,74,64,10,0.8649,8497.55,0.6178,64,CARD
CUS_000170,63,78,73,5,0.9359,1801.24,0.7311,40,UPI
CUS_000171,186,2,2,0,1.0,1028.76,0.8588,70,CARD
CUS_000172,162,59,52,7,0.8814,6381.4,0.7667,40,UPI
CUS_000173,1164,79,50,29,0.6329,2012.82,0.7246,32,UPI
CUS_000174,1091,61,55,6,0.9016,4270.93,0.5078,45,WALLET
CUS_000175,1054,19,18,1,0.9474,4951.94,0.8577,61,WALLET
CUS_000176,708,61,58,3,0.9508,5488.05,0.6872,41,UPI
CUS_000177,1084,9,7,2,0.7778,9528.72,0.6845,81,UPI
CUS_000178,267,38,35,3,0.9211,8755.99,0.714,46,NETBANKING
CUS_000179,1353,50,45,5,0.9,5259.72,0.597,26,CARD
CUS_000180,766,37,32,5,0.8649,3159.66,0.7243,2,UPI
CUS_000181,1408,56,51,5,0.9107,4905.16,0.9255,35,UPI
CUS_000182,253,19,16,3,0.8421,2792.98,0.7844,4,UPI
CUS_000183,761,48,47,1,0.9792,3845.62,0.7417,3,CARD
CUS_000184,1053,51,45,6,0.8824,36547.62,0.8039,33,CARD
CUS_000185,758,51,46,5,0.902,5206.09,0.7335,26,UPI
CUS_000186,685,23,22,1,0.9565,6451.25,0.9346,79,UPI
CUS_000187,274,25,23,2,0.92,2559.2,0.8231,65,UPI
CUS_000188,590,21,16,5,0.7619,10177.06,0.3398,71,CARD
CUS_000189,380,37,36,1,0.973,8267.2,0.9612,49,NETBANKING
CUS_000190,473,47,41,6,0.8723,8314.15,0.7599,9,CARD
CUS_000191,1035,29,21,8,0.7241,5344.09,0.4737,76,CARD
CUS_000192,956,33,30,3,0.9091,10292.64,0.25,44,UPI
CUS_000193,922,23,22,1,0.9565,12446.33,0.4581,38,CARD
CUS_000194,561,18,16,2,0.8889,5643.79,0.7774,54,UPI
CUS_000195,1440,52,47,5,0.9038,4105.75,0.5672,14,UPI
CUS_000196,158,65,57,8,0.8769,9204.88,0.9643,43,CARD
CUS_000197,533,23,16,7,0.6957,2183.17,0.8683,54,NETBANKING
CUS_000198,203,68,55,13,0.8088,2533.77,0.7788,62,UPI
CUS_000199,528,46,40,6,0.8696,4312.15,0.7139,45,CARD
CUS_000200,1443,14,11,3,0.7857,1117.39,0.4094,89,NETBANKING
CUS_000201,568,29,28,1,0.9655,8724.66,0.7617,89,CARD
CUS_000202,1365,1,1,0,1.0,2082.87,0.785,8,CARD
CUS_000203,757,4,4,0,1.0,3086.03,0.7362,7,UPI
CUS_000204,1058,27,25,2,0.9259,3794.12,0.8748,46,NETBANKING
CUS_000205,702,36,34,2,0.9444,4643.68,0.5643,74,UPI
CUS_000206,420,64,59,5,0.9219,3418.34,0.4829,46,UPI
CUS_000207,1153,11,10,1,0.9091,4263.88,0.3115,19,UPI
CUS_000208,1454,67,62,5,0.9254,4290.38,0.8139,50,CARD
CUS_000209,417,19,18,1,0.9474,3147.01,0.7152,84,CARD
CUS_000210,1174,11,10,1,0.9091,2424.25,0.9132,15,NETBANKING
CUS_000211,413,56,44,12,0.7857,10689.44,0.902,40,CARD
CUS_000212,1083,62,53,9,0.8548,835.73,0.7542,57,WALLET
CUS_000213,1189,48,45,3,0.9375,3817.15,0.8389,35,CARD
CUS_000214,690,10,9,1,0.9,3092.43,0.6122,3,CARD
CUS_000215,1113,10,8,2,0.8,6290.94,0.8328,60,UPI
CUS_000216,430,31,28,3,0.9032,1405.85,0.4083,66,UPI
CUS_000217,146,36,31,5,0.8611,3016.96,0.9561,58,CARD
CUS_000218,171,79,59,20,0.7468,4146.19,0.9756,59,CARD
CUS_000219,687,23,22,1,0.9565,10592.39,0.7774,59,UPI
CUS_000220,1356,16,14,2,0.875,5869.83,0.7764,29,CARD
CUS_000221,217,75,60,15,0.8,1745.93,0.5735,1,UPI
CUS_000222,699,13,13,0,1.0,3046.81,0.7916,89,UPI
CUS_000223,1064,3,2,1,0.6667,9142.36,0.8044,18,UPI
CUS_000224,327,34,31,3,0.9118,1721.95,0.6875,74,UPI
CUS_000225,1090,32,29,3,0.9062,4225.6,0.8687,48,UPI
CUS_000226,479,49,39,10,0.7959,4467.29,0.9547,48,NETBANKING
CUS_000227,1218,70,69,1,0.9857,3305.05,0.653,1,NETBANKING
CUS_000228,881,74,66,8,0.8919,38887.73,0.7316,89,UPI
CUS_000229,833,23,23,0,1.0,3234.56,0.9388,47,UPI
CUS_000230,289,78,68,10,0.8718,6448.77,0.3898,74,CARD
CUS_000231,710,50,42,8,0.84,2437.65,0.8532,70,UPI
CUS_000232,1289,6,5,1,0.8333,6863.9,0.855,12,NETBANKING
CUS_000233,58,75,69,6,0.92,9031.4,0.8228,85,CARD
CUS_000234,1145,11,10,1,0.9091,2811.47,0.7682,53,NETBANKING
CUS_000235,754,47,40,7,0.8511,4307.32,0.7967,16,UPI
CUS_000236,1087,63,61,2,0.9683,2198.67,0.5842,52,WALLET
CUS_000237,1005,20,17,3,0.85,1801.38,0.7761,55,CARD
CUS_000238,665,22,19,3,0.8636,10314.12,0.8337,58,CARD
CUS_000239,483,38,38,0,1.0,2888.9,0.7109,28,WALLET
CUS_000240,952,70,56,14,0.8,652.59,0.7273,84,CARD
CUS_000241,236,18,16,2,0.8889,18473.96,0.8344,21,UPI
CUS_000242,888,53,42,11,0.7925,2368.84,0.971,44,CARD
CUS_000243,169,36,33,3,0.9167,3694.99,0.9404,75,NETBANKING
CUS_000244,985,9,7,2,0.7778,16723.29,0.9609,6,NETBANKING
CUS_000245,954,57,33,24,0.5789,4017.6,0.662,36,CARD
CUS_000246,154,66,49,17,0.7424,3948.79,0.7548,43,CARD
CUS_000247,1143,46,40,6,0.8696,1684.62,0.48,69,UPI
CUS_000248,641,14,11,3,0.7857,1216.78,0.6496,70,UPI
CUS_000249,1186,13,12,1,0.9231,3939.16,0.7933,71,CARD
CUS_000250,91,34,25,9,0.7353,6015.41,0.836,32,UPI
CUS_000251,293,41,40,1,0.9756,5745.96,0.6167,44,UPI
CUS_000252,756,44,39,5,0.8864,3062.0,0.6298,2,CARD
CUS_000253,306,20,15,5,0.75,4573.52,0.7853,74,CARD
CUS_000254,514,40,37,3,0.925,1034.9,0.6769,27,CARD
CUS_000255,1001,24,23,1,0.9583,6502.66,0.6047,42,UPI
CUS_000256,242,55,48,7,0.8727,5120.24,0.8357,61,UPI
CUS_000257,1026,63,61,2,0.9683,21823.91,0.7616,69,CARD
CUS_000258,182,52,42,10,0.8077,4527.01,0.744,7,NETBANKING
CUS_000259,287,1,1,0,1.0,2116.88,0.8604,69,UPI
CUS_000260,893,79,76,3,0.962,4321.05,0.5929,33,NETBANKING
CUS_000261,1196,2,2,0,1.0,3461.97,0.6884,37,CARD
CUS_000262,280,79,77,2,0.9747,6371.56,0.6944,11,NETBANKING
CUS_000263,470,3,2,1,0.6667,4597.86,0.9154,64,CARD
CUS_000264,1389,41,38,3,0.9268,1642.34,0.5883,42,UPI
CUS_000265,1484,9,8,1,0.8889,1215.9,0.8559,9,CARD
CUS_000266,884,8,6,2,0.75,5553.36,0.6768,12,CARD
CUS_000267,687,54,47,7,0.8704,13606.79,0.9414,64,UPI
CUS_000268,539,58,47,11,0.8103,4794.91,0.5588,9,UPI
CUS_000269,930,10,9,1,0.9,8625.43,0.7526,46,CARD
CUS_000270,898,78,71,7,0.9103,10118.09,0.576,62,CARD
CUS_000271,463,26,23,3,0.8846,5570.65,0.9208,82,NETBANKING
CUS_000272,63,26,24,2,0.9231,2345.47,0.4113,14,UPI
CUS_000273,252,24,19,5,0.7917,5261.01,0.9347,26,UPI
CUS_000274,1439,37,32,5,0.8649,11819.32,0.7243,13,WALLET
CUS_000275,644,15,13,2,0.8667,6875.68,0.7871,79,UPI
CUS_000276,738,34,29,5,0.8529,8188.03,0.6818,53,UPI
CUS_000277,716,17,15,2,0.8824,3108.19,0.367,88,NETBANKING
CUS_000278,1180,5,5,0,1.0,3827.43,0.6977,3,WALLET
CUS_000279,125,30,25,5,0.8333,4092.25,0.7741,63,CARD
CUS_000280,151,54,53,1,0.9815,4318.93,0.3951,2,UPI
CUS_000281,435,61,59,2,0.9672,11455.2,0.8421,9,CARD
CUS_000282,745,28,23,5,0.8214,688.21,0.933,38,NETBANKING
CUS_000283,1016,26,20,6,0.7692,4611.29,0.9085,33,NETBANKING
CUS_000284,751,63,59,4,0.9365,4222.72,0.4478,32,UPI
CUS_000285,678,54,49,5,0.9074,1502.12,0.6401,6,NETBANKING
CUS_000286,1408,66,62,4,0.9394,7702.09,0.7834,49,CARD
CUS_000287,266,72,66,6,0.9167,2520.55,0.7832,30,UPI
CUS_000288,870,65,61,4,0.9385,3381.95,0.7563,89,UPI
CUS_000289,827,74,64,10,0.8649,19749.0,0.4191,71,UPI
CUS_000290,726,33,30,3,0.9091,10095.16,0.6399,39,WALLET
CUS_000291,1217,32,27,5,0.8438,7125.41,0.5562,68,UPI
CUS_000292,422,26,22,4,0.8462,6102.5,0.2406,51,CARD
CUS_000293,1432,19,17,2,0.8947,3944.54,0.8864,44,UPI
CUS_000294,517,60,55,5,0.9167,22277.54,0.6359,82,CARD
CUS_000295,831,57,42,15,0.7368,8548.98,0.9477,52,CARD
CUS_000296,795,64,45,19,0.7031,2470.54,0.9066,43,WALLET
CUS_000297,1279,14,12,2,0.8571,1468.14,0.6603,50,CARD
CUS_000298,675,39,34,5,0.8718,7081.94,0.8272,70,CARD
CUS_000299,448,18,16,2,0.8889,4303.3,0.7064,66,CARD
CUS_000300,61,71,63,8,0.8873,1434.66,0.5255,49,CARD
CUS_000301,564,22,18,4,0.8182,6340.43,0.8077,15,WALLET
CUS_000302,1244,12,11,1,0.9167,3628.63,0.7024,57,CARD
CUS_000303,44,46,44,2,0.9565,6879.94,0.782,38,NETBANKING
CUS_000304,1347,70,63,7,0.9,6407.5,0.5711,83,UPI
CUS_000305,827,73,59,14,0.8082,2766.18,0.3585,81,CARD
CUS_000306,236,8,8,0,1.0,7465.95,0.7914,0,NETBANKING
CUS_000307,474,26,25,1,0.9615,3021.5,0.7772,89,NETBANKING
CUS_000308,844,13,12,1,0.9231,3182.83,0.7198,81,CARD
CUS_000309,494,25,24,1,0.96,2939.56,0.8869,81,CARD
CUS_000310,189,43,40,3,0.9302,11121.24,0.8344,44,NETBANKING
CUS_000311,1009,23,18,5,0.7826,3595.27,0.429,24,UPI
CUS_000312,1018,6,6,0,1.0,13491.12,0.6282,54,WALLET
CUS_000313,204,41,38,3,0.9268,18743.84,0.5326,79,UPI
CUS_000314,443,5,5,0,1.0,2492.04,0.4173,40,UPI
CUS_000315,388,18,14,4,0.7778,434.87,0.5933,88,CARD
CUS_000316,999,1,1,0,1.0,10377.97,0.8265,23,UPI
CUS_000317,1103,7,6,1,0.8571,3422.94,0.4276,76,UPI
CUS_000318,1098,35,34,1,0.9714,2250.45,0.971,5,UPI
CUS_000319,1409,68,45,23,0.6618,2809.77,0.5535,75,WALLET
CUS_000320,1159,62,54,8,0.871,3229.17,0.7311,85,CARD
CUS_000321,501,8,8,0,1.0,12702.92,0.5365,63,WALLET
CUS_000322,188,3,3,0,1.0,5114.13,0.8163,56,UPI
CUS_000323,933,27,26,1,0.963,12565.52,0.6465,37,UPI
CUS_000324,1376,52,47,5,0.9038,6682.24,0.5829,78,UPI
CUS_000325,1463,59,53,6,0.8983,3513.78,0.607,11,UPI
CUS_000326,368,66,62,4,0.9394,3292.98,0.6195,26,UPI
CUS_000327,377,28,19,9,0.6786,7052.37,0.713,11,UPI
CUS_000328,84,14,13,1,0.9286,8674.76,0.9066,25,CARD
CUS_000329,237,3,3,0,1.0,9989.27,0.7224,47,CARD
CUS_000330,845,12,11,1,0.9167,3650.44,0.7898,30,UPI
CUS_000331,833,6,5,1,0.8333,5177.08,0.8771,37,CARD
CUS_000332,575,69,56,13,0.8116,7180.07,0.8745,20,UPI
CUS_000333,485,22,18,4,0.8182,3309.86,0.625,31,CARD
CUS_000334,1249,66,55,11,0.8333,1815.07,0.6891,44,CARD
CUS_000335,706,44,38,6,0.8636,2360.94,0.5395,19,NETBANKING
CUS_000336,1218,43,38,5,0.8837,3710.81,0.9097,84,NETBANKING
CUS_000337,1445,36,31,5,0.8611,7643.4,0.4261,80,UPI
CUS_000338,496,65,55,10,0.8462,12320.44,0.9426,78,CARD
CUS_000339,328,4,3,1,0.75,1520.8,0.6855,0,NETBANKING
CUS_000340,1430,8,7,1,0.875,2790.45,0.9151,44,WALLET
CUS_000341,963,34,27,7,0.7941,3379.7,0.7275,71,CARD
CUS_000342,457,32,26,6,0.8125,8498.17,0.6483,31,CARD
CUS_000343,944,44,39,5,0.8864,2949.36,0.7725,20,CARD
CUS_000344,787,59,52,7,0.8814,3190.86,0.8317,55,WALLET
CUS_000345,1361,47,42,5,0.8936,1454.24,0.6025,0,UPI
CUS_000346,406,21,21,0,1.0,6624.69,0.945,55,UPI
CUS_000347,1487,26,22,4,0.8462,3954.91,0.8473,40,NETBANKING
CUS_000348,1405,60,52,8,0.8667,2666.7,0.9154,61,CARD
CUS_000349,295,16,13,3,0.8125,3656.36,0.9025,61,UPI
CUS_000350,271,40,40,0,1.0,11085.9,0.9238,48,UPI
CUS_000351,813,43,42,1,0.9767,2014.09,0.6147,52,CARD
CUS_000352,96,60,52,8,0.8667,2295.04,0.4388,2,CARD
CUS_000353,469,57,51,6,0.8947,12254.33,0.8841,88,CARD
CUS_000354,669,37,34,3,0.9189,4781.23,0.6105,6,UPI
CUS_000355,1454,25,21,4,0.84,7689.69,0.4944,87,UPI
CUS_000356,1488,30,29,1,0.9667,6205.77,0.7294,87,CARD
CUS_000357,252,33,24,9,0.7273,4374.58,0.6364,64,UPI
CUS_000358,1340,18,16,2,0.8889,3405.66,0.6016,67,CARD
CUS_000359,163,50,47,3,0.94,8752.36,0.5219,2,CARD
CUS_000360,1130,17,14,3,0.8235,11403.8,0.7781,85,UPI
CUS_000361,1273,52,43,9,0.8269,10712.68,0.974,47,CARD
CUS_000362,1339,60,58,2,0.9667,1743.16,0.8537,30,UPI
CUS_000363,358,76,71,5,0.9342,12781.59,0.8066,60,CARD
CUS_000364,1343,10,10,0,1.0,3379.5,0.6792,48,CARD
CUS_000365,200,61,48,13,0.7869,2459.74,0.8209,32,CARD
CUS_000366,792,7,6,1,0.8571,3929.9,0.276,28,NETBANKING
CUS_000367,720,27,24,3,0.8889,8749.36,0.5481,10,UPI
CUS_000368,494,14,12,2,0.8571,6934.08,0.8497,81,NETBANKING
CUS_000369,62,13,12,1,0.9231,3668.45,0.9021,59,UPI
CUS_000370,1164,14,13,1,0.9286,8795.23,0.7333,25,WALLET
CUS_000371,523,4,3,1,0.75,5032.75,0.5532,65,UPI
CUS_000372,1002,66,53,13,0.803,2845.39,0.7078,62,CARD
CUS_000373,633,5,5,0,1.0,2553.97,0.4535,12,UPI
CUS_000374,579,32,19,13,0.5938,6248.02,0.951,15,UPI
CUS_000375,1332,56,51,5,0.9107,4212.53,0.6671,20,UPI
CUS_000376,168,79,69,10,0.8734,1497.31,0.6487,9,UPI
CUS_000377,1112,68,54,14,0.7941,8862.3,0.8172,74,UPI
CUS_000378,1127,11,9,2,0.8182,3064.42,0.7006,14,UPI
CUS_000379,588,79,56,23,0.7089,16083.17,0.5157,73,CARD
