merchant_id,merchant_category,merchant_size,avg_transaction_amount,historical_success_rate,historical_failure_rate
MER_00086,EDUCATION,LARGE,4399.36,0.9863,0.0137
MER_00087,TRAVEL,MEDIUM,26627.4,0.8417,0.1583
MER_00088,SAAS,MEDIUM,2014.49,0.8916,0.1084
MER_00089,SAAS,MEDIUM,416.38,0.9005,0.0995
MER_00090,SAAS,LARGE,7209.68,0.9254,0.0746
MER_00091,EDUCATION,SMALL,20175.16,0.9906,0.0094
MER_00092,E_COMMERCE,SMALL,2690.26,0.8466,0.1534
MER_00093,RETAIL,MEDIUM,968.76,0.94,0.06
MER_00094,DIGITAL_SERVICES,SMALL,1903.89,0.9415,0.0585
MER_00095,EDUCATION,SMALL,7386.47,0.995,0.005
MER_00096,TRAVEL,MEDIUM,3014.41,0.9456,0.0544
MER_00097,E_COMMERCE,LARGE,5194.38,0.918,0.082
MER_00098,DIGITAL_SERVICES,SMALL,599.1,0.88,0.12
MER_00099,E_COMMERCE,MEDIUM,3130.24,0.8534,0.1466
MER_00100,EDUCATION,MEDIUM,10164.26,0.9653,0.0347
MER_00101,FOOD_DELIVERY,SMALL,3940.25,0.8648,0.1352
MER_00102,DIGITAL_SERVICES,MEDIUM,1989.33,0.9744,0.0256
MER_00103,FOOD_DELIVERY,SMALL,12886.43,0.9255,0.0745
MER_00104,FOOD_DELIVERY,SMALL,12154.73,0.8804,0.1196
MER_00105,SAAS,LARGE,3288.97,0.911,0.089
MER_00106,SAAS,SMALL,2564.56,0.9372,0.0628
MER_00107,E_COMMERCE,SMALL,15795.0,0.9309,0.0691
MER_00108,RETAIL,SMALL,3048.05,0.8679,0.1321
MER_00109,E_COMMERCE,SMALL,4316.36,0.9135,0.0865
MER_00110,FOOD_DELIVERY,MEDIUM,25287.45,0.9495,0.0505
MER_00111,SAAS,SMALL,5915.71,0.9052,0.0948
MER_00112,DIGITAL_SERVICES,SMALL,3201.31,0.8352,0.1648
MER_00113,DIGITAL_SERVICES,MEDIUM,844.23,0.8301,0.1699
MER_00114,FOOD_DELIVERY,MEDIUM,5161.89,0.7179,0.2821
MER_00115,E_COMMERCE,MEDIUM,4625.14,0.9927,0.0073
MER_00116,E_COMMERCE,SMALL,2851.89,0.9217,0.0783
MER_00117,TRAVEL,SMALL,11500.96,0.8461,0.1539
MER_00118,E_COMMERCE,MEDIUM,1563.87,0.9374,0.0626
MER_00119,FOOD_DELIVERY,MEDIUM,1203.04,0.9094,0.0906
MER_00120,E_COMMERCE,SMALL,2459.82,0.952,0.048
MER_00121,SAAS,SMALL,4761.05,0.8269,0.1731
MER_00122,TRAVEL,LARGE,1261.74,0.7975,0.2025
MER_00123,EDUCATION,SMALL,1684.78,0.9279,0.0721
MER_00124,TRAVEL,SMALL,2268.54,0.7268,0.2732
MER_00125,E_COMMERCE,MEDIUM,4606.05,0.8105,0.1895
MER_00126,DIGITAL_SERVICES,SMALL,2499.99,0.8824,0.1176
MER_00127,SAAS,MEDIUM,11305.04,0.8287,0.1713
MER_00128,TRAVEL,LARGE,637.62,0.9635,0.0365
MER_00129,TRAVEL,SMALL,6672.36,0.894,0.106
MER_00130,FOOD_DELIVERY,MEDIUM,2704.71,0.8833,0.1167
MER_00131,DIGITAL_SERVICES,MEDIUM,6995.59,0.7666,0.2334
MER_00132,RETAIL,MEDIUM,27235.71,0.8482,0.1518
MER_00133,TRAVEL,SMALL,4316.96,0.7958,0.2042
MER_00134,EDUCATION,SMALL,5486.16,0.9252,0.0748
MER_00135,FOOD_DELIVERY,SMALL,9749.43,0.833,0.167
MER_00136,TRAVEL,MEDIUM,1391.97,0.9802,0.0198
MER_00137,SAAS,MEDIUM,8339.15,0.9561,0.0439
MER_00138,E_COMMERCE,MEDIUM,9578.85,0.8707,0.1293
MER_00139,FOOD_DELIVERY,SMALL,4070.36,0.9874,0.0126
MER_00140,EDUCATION,MEDIUM,8286.12,0.9696,0.0304
MER_00141,E_COMMERCE,MEDIUM,5168.9,0.7,0.3
MER_00142,RETAIL,MEDIUM,2317.11,0.8986,0.1014
MER_00143,RETAIL,MEDIUM,1410.83,0.967,0.033
MER_00144,E_COMMERCE,SMALL,11138.28,0.8359,0.1641
MER_00145,DIGITAL_SERVICES,SMALL,22876.16,0.9386,0.0614
MER_00146,RETAIL,LARGE,2271.18,0.8973,0.1027
MER_00147,TRAVEL,MEDIUM,6423.31,0.8655,0.1345
MER_00148,RETAIL,MEDIUM,1547.37,0.9811,0.0189
MER_00149,EDUCATION,SMALL,3023.4,0.9223,0.0777
MER_00150,DIGITAL_SERVICES,LARGE,2957.32,0.8313,0.1687
MER_00151,TRAVEL,MEDIUM,1657.94,0.9487,0.0513
MER_00152,DIGITAL_SERVICES,SMALL,4325.9,0.9166,0.0834
MER_00153,DIGITAL_SERVICES,MEDIUM,11301.58,0.8712,0.1288
MER_00154,E_COMMERCE,SMALL,7670.89,0.9583,0.0417
MER_00155,SAAS,SMALL,2912.27,0.843,0.157
MER_00156,FOOD_DELIVERY,MEDIUM,16696.36,0.898,0.102
MER_00157,E_COMMERCE,MEDIUM,5657.2,0.8635,0.1365
MER_00158,SAAS,MEDIUM,23542.32,0.8428,0.1572
MER_00159,EDUCATION,MEDIUM,1436.79,0.8598,0.1402
MER_00160,RETAIL,MEDIUM,70458.78,0.9015,0.0985
MER_00161,SAAS,SMALL,3979.68,0.9713,0.0287
MER_00162,DIGITAL_SERVICES,LARGE,1610.3,0.8922,0.1078
MER_00163,E_COMMERCE,SMALL,1788.31,0.8092,0.1908
MER_00164,EDUCATION,LARGE,10820.21,0.8606,0.1394
MER_00165,SAAS,SMALL,10559.09,0.8386,0.1614
MER_00166,EDUCATION,SMALL,9718.64,0.9553,0.0447
MER_00167,EDUCATION,SMALL,8093.76,0.8619,0.1381
MER_00168,RETAIL,LARGE,1697.36,0.8567,0.1433
MER_00169,FOOD_DELIVERY,SMALL,4115.41,0.9528,0.0472
MER_00170,EDUCATION,LARGE,584.64,0.8429,0.1571
MER_00171,E_COMMERCE,SMALL,2134.84,0.9759,0.0241
MER_00172,E_COMMERCE,SMALL,8580.85,0.8235,0.1765
MER_00173,DIGITAL_SERVICES,MEDIUM,866.54,0.9435,0.0565
MER_00174,E_COMMERCE,SMALL,39917.69,0.9894,0.0106
MER_00175,RETAIL,SMALL,14742.91,0.995,0.005
MER_00176,FOOD_DELIVERY,SMALL,1683.95,0.9165,0.0835
MER_00177,SAAS,SMALL,9080.37,0.8866,0.1134
MER_00178,EDUCATION,SMALL,7809.93,0.9459,0.0541
MER_00179,DIGITAL_SERVICES,SMALL,4183.78,0.7936,0.2064
MER_00180,EDUCATION,SMALL,8065.97,0.802,0.198
MER_00181,TRAVEL,SMALL,3734.39,0.8092,0.1908
MER_00182,DIGITAL_SERVICES,SMALL,4671.98,0.9884,0.0116
MER_00183,DIGITAL_SERVICES,SMALL,7807.06,0.8681,0.1319
MER_00184,E_COMMERCE,MEDIUM,7360.37,0.9586,0.0414
MER_00185,TRAVEL,SMALL,6499.82,0.9334,0.0666
MER_00186,SAAS,LARGE,6624.61,0.9305,0.0695
MER_00187,FOOD_DELIVERY,LARGE,11630.69,0.9524,0.0476
MER_00188,RETAIL,SMALL,9937.08,0.8407,0.1593
MER_00189,E_COMMERCE,LARGE,1688.36,0.8609,0.1391
MER_00190,RETAIL,MEDIUM,2490.76,0.9915,0.0085
MER_00191,EDUCATION,SMALL,18406.03,0.9338,0.0662
MER_00192,TRAVEL,MEDIUM,20196.01,0.9465,0.0535
MER_00193,DIGITAL_SERVICES,MEDIUM,8184.15,0.9805,0.0195
MER_00194,TRAVEL,LARGE,3878.8,0.7793,0.2207
MER_00195,TRAVEL,LARGE,10413.1,0.9379,0.0621
MER_00196,SAAS,SMALL,9200.06,0.9131,0.0869
MER_00197,E_COMMERCE,SMALL,1239.03,0.945,0.055
MER_00198,DIGITAL_SERVICES,SMALL,5306.23,0.9513,0.0487
MER_00199,SAAS,SMALL,1416.06,0.9293,0.0707
MER_00200,TRAVEL,LARGE,3303.67,0.795,0.205
