event_id,event_type,timestamp,customer_id,merchant_id,amount,currency,payment_method,device_type,payment_status,failure_type,retry_count,previous_attempt_hours,checkout_duration_seconds,payment_page_reached,payment_attempted,subscription_age_days,successful_cycles,failed_cycles,true_recovery_probability
EVT_00078076,SUBSCRIPTION_FAILURE,2026-01-01 00:47:48,CUS_001507,MER_00061,838.68,INR,UPI,MOBILE,AT_RISK,,0,20.72,0,False,False,265,2,3,0.1901
EVT_00097832,PAYMENT_FAILURE,2026-01-01 00:55:09,CUS_001763,MER_00122,3470.97,INR,UPI,MOBILE,FAILED,TIMEOUT,2,1.21,0,False,False,0,0,0,0.438971
EVT_00028683,PAYMENT_FAILURE,2026-01-01 00:57:06,CUS_001211,MER_00096,1211.19,INR,CARD,MOBILE,FAILED,INSUFFICIENT_BALANCE,1,43.97,0,False,False,0,0,0,0.307037
EVT_00010872,PAYMENT_FAILURE,2026-01-01 00:59:59,CUS_001311,MER_00083,5601.95,INR,CARD,MOBILE,FAILED,PAYMENT_LIMIT,1,59.34,0,False,False,0,0,0,0.365869
EVT_00090969,PAYMENT_FAILURE,2026-01-01 01:02:44,CUS_001203,MER_00141,935.96,INR,WALLET,MOBILE,FAILED,EXPIRED_PAYMENT_METHOD,3,14.27,0,False,False,0,0,0,0.185082
EVT_00036714,SUBSCRIPTION_FAILURE,2026-01-01 01:03:21,CUS_000301,MER_00188,7492.25,INR,CARD,MOBILE,AT_RISK,,0,6.14,0,False,False,196,18,2,0.382201
EVT_00092948,CHECKOUT_ABANDONMENT,2026-01-01 01:04:16,CUS_001530,MER_00142,2040.45,INR,CARD,MOBILE,AT_RISK,,0,40.24,387,False,False,0,0,0,0.458666
EVT_00081254,PAYMENT_FAILURE,2026-01-01 01:05:45,CUS_000238,MER_00048,11303.26,INR,CARD,MOBILE,FAILED,INSUFFICIENT_BALANCE,2,60.94,0,False,False,0,0,0,0.244766
EVT_00020820,PAYMENT_FAILURE,2026-01-01 01:05:58,CUS_001133,MER_00192,7448.96,INR,WALLET,MOBILE,FAILED,EXPIRED_PAYMENT_METHOD,2,53.73,0,False,False,0,0,0,0.285129
EVT_00049172,PAYMENT_FAILURE,2026-01-01 01:15:17,CUS_001740,MER_00087,5836.59,INR,UPI,DESKTOP,FAILED,ISSUER_DECLINE,2,9.63,0,False,False,0,0,0,0.188525
EVT_00008533,PAYMENT_FAILURE,2026-01-01 01:23:22,CUS_000248,MER_00113,597.74,INR,UPI,MOBILE,FAILED,PAYMENT_LIMIT,0,58.84,0,False,False,0,0,0,0.364383
EVT_00048002,PAYMENT_FAILURE,2026-01-01 01:30:46,CUS_000012,MER_00156,2367.44,INR,CARD,MOBILE,FAILED,TIMEOUT,3,40.16,0,False,False,0,0,0,0.398978
EVT_00047836,PAYMENT_FAILURE,2026-01-01 01:31:30,CUS_000169,MER_00032,6931.96,INR,UPI,MOBILE,FAILED,BANK_TECHNICAL_ERROR,0,58.63,0,False,False,0,0,0,0.637967
EVT_00079664,CHECKOUT_ABANDONMENT,2026-01-01 01:34:32,CUS_001608,MER_00145,4301.26,INR,WALLET,MOBILE,AT_RISK,,0,22.51,693,True,False,0,0,0,0.707711
EVT_00021486,CHECKOUT_ABANDONMENT,2026-01-01 01:41:03,CUS_000784,MER_00032,2399.32,INR,WALLET,MOBILE,AT_RISK,,0,65.09,248,True,False,0,0,0,0.710934
EVT_00057314,CHECKOUT_ABANDONMENT,2026-01-01 01:45:34,CUS_001962,MER_00133,24639.9,INR,CARD,DESKTOP,AT_RISK,,0,63.89,365,True,False,0,0,0,0.786841
EVT_00005337,PAYMENT_FAILURE,2026-01-01 01:45:35,CUS_001326,MER_00006,2214.01,INR,UPI,MOBILE,FAILED,EXPIRED_PAYMENT_METHOD,1,70.48,0,False,False,0,0,0,0.350043
EVT_00073546,PAYMENT_FAILURE,2026-01-01 01:50:00,CUS_001120,MER_00197,1995.08,INR,NETBANKING,DESKTOP,FAILED,NETWORK_ERROR,3,2.33,0,False,False,0,0,0,0.358668
EVT_00029791,CHECKOUT_ABANDONMENT,2026-01-01 01:52:06,CUS_000993,MER_00077,4797.05,INR,CARD,DESKTOP,AT_RISK,,0,32.53,408,False,True,0,0,0,0.54792
EVT_00030675,SUBSCRIPTION_FAILURE,2026-01-01 01:55:21,CUS_000576,MER_00162,2622.79,INR,CARD,DESKTOP,AT_RISK,,0,26.06,0,False,False,533,23,0,0.532302
EVT_00011874,PAYMENT_FAILURE,2026-01-01 01:56:20,CUS_001114,MER_00196,6541.57,INR,UPI,DESKTOP,FAILED,TIMEOUT,3,50.32,0,False,False,0,0,0,0.342167
EVT_00092761,PAYMENT_FAILURE,2026-01-01 01:56:45,CUS_000428,MER_00171,6451.03,INR,UPI,MOBILE,FAILED,INSUFFICIENT_BALANCE,0,13.36,0,False,False,0,0,0,0.388952
EVT_00055269,CHECKOUT_ABANDONMENT,2026-01-01 02:03:57,CUS_001649,MER_00071,15443.23,INR,NETBANKING,MOBILE,AT_RISK,,0,38.63,682,False,False,0,0,0,0.547916
EVT_00077778,PAYMENT_FAILURE,2026-01-01 02:06:12,CUS_000127,MER_00085,1373.89,INR,UPI,MOBILE,FAILED,BANK_TECHNICAL_ERROR,0,38.07,0,False,False,0,0,0,0.599691
EVT_00012208,CHECKOUT_ABANDONMENT,2026-01-01 02:13:02,CUS_001749,MER_00074,54679.15,INR,CARD,MOBILE,AT_RISK,,0,11.78,352,True,False,0,0,0,0.816209
EVT_00030370,SUBSCRIPTION_FAILURE,2026-01-01 02:17:19,CUS_001541,MER_00139,7450.66,INR,WALLET,DESKTOP,AT_RISK,,0,35.95,0,False,False,715,8,2,0.420841
EVT_00088551,CHECKOUT_ABANDONMENT,2026-01-01 02:22:34,CUS_001526,MER_00094,3717.62,INR,CARD,DESKTOP,AT_RISK,,0,22.82,630,True,False,0,0,0,0.758995
EVT_00098336,PAYMENT_FAILURE,2026-01-01 02:25:22,CUS_001625,MER_00064,24797.76,INR,UPI,MOBILE,FAILED,ISSUER_DECLINE,2,21.86,0,False,False,0,0,0,0.226864
EVT_00002340,PAYMENT_FAILURE,2026-01-01 02:30:46,CUS_001922,MER_00191,6251.17,INR,CARD,MOBILE,FAILED,INSUFFICIENT_BALANCE,1,11.6,0,False,False,0,0,0,0.276318
EVT_00074359,PAYMENT_FAILURE,2026-01-01 02:32:40,CUS_001107,MER_00125,9367.19,INR,UPI,MOBILE,FAILED,EXPIRED_PAYMENT_METHOD,0,38.17,0,False,False,0,0,0,0.397504
EVT_00097156,PAYMENT_FAILURE,2026-01-01 02:36:09,CUS_000355,MER_00143,6079.81,INR,UPI,MOBILE,FAILED,INSUFFICIENT_BALANCE,0,13.78,0,False,False,0,0,0,0.386843
EVT_00010946,SUBSCRIPTION_FAILURE,2026-01-01 02:40:17,CUS_001125,MER_00054,4670.24,INR,NETBANKING,MOBILE,AT_RISK,,0,27.89,0,False,False,734,1,3,0.194654
EVT_00021723,PAYMENT_FAILURE,2026-01-01 02:42:54,CUS_000682,MER_00008,16508.6,INR,UPI,MOBILE,FAILED,NETWORK_ERROR,2,5.0,0,False,False,0,0,0,0.457688
EVT_00035996,CHECKOUT_ABANDONMENT,2026-01-01 02:43:09,CUS_000719,MER_00027,1697.67,INR,WALLET,MOBILE,AT_RISK,,0,57.62,621,True,True,0,0,0,0.732271
EVT_00095261,PAYMENT_FAILURE,2026-01-01 02:44:05,CUS_001114,MER_00133,5880.21,INR,UPI,MOBILE,FAILED,TIMEOUT,3,56.0,0,False,False,0,0,0,0.319927
EVT_00030384,PAYMENT_FAILURE,2026-01-01 02:46:33,CUS_000076,MER_00054,1891.42,INR,UPI,MOBILE,FAILED,INSUFFICIENT_BALANCE,3,40.67,0,False,False,0,0,0,0.202735
EVT_00069355,PAYMENT_FAILURE,2026-01-01 02:47:39,CUS_000907,MER_00157,2600.03,INR,NETBANKING,DESKTOP,FAILED,TIMEOUT,1,7.35,0,False,False,0,0,0,0.510449
EVT_00012113,PAYMENT_FAILURE,2026-01-01 02:49:46,CUS_001579,MER_00061,27966.17,INR,CARD,MOBILE,FAILED,ISSUER_DECLINE,0,71.28,0,False,False,0,0,0,0.364245
EVT_00065152,PAYMENT_FAILURE,2026-01-01 02:54:11,CUS_000635,MER_00030,9219.25,INR,UPI,DESKTOP,FAILED,INSUFFICIENT_BALANCE,2,16.51,0,False,False,0,0,0,0.283459
EVT_00074621,CHECKOUT_ABANDONMENT,2026-01-01 02:54:59,CUS_001063,MER_00047,13633.36,INR,UPI,MOBILE,AT_RISK,,0,36.32,184,True,False,0,0,0,0.756757
EVT_00041518,PAYMENT_FAILURE,2026-01-01 02:57:17,CUS_001777,MER_00122,16687.65,INR,WALLET,MOBILE,FAILED,TIMEOUT,3,58.13,0,False,False,0,0,0,0.383534
EVT_00085557,PAYMENT_FAILURE,2026-01-01 02:58:39,CUS_001405,MER_00040,2366.0,INR,NETBANKING,MOBILE,FAILED,TIMEOUT,3,45.98,0,False,False,0,0,0,0.370433
EVT_00092050,SUBSCRIPTION_FAILURE,2026-01-01 03:03:09,CUS_000073,MER_00028,2275.47,INR,CARD,TABLET,AT_RISK,,0,21.27,0,False,False,715,16,2,0.385586
EVT_00092332,SUBSCRIPTION_FAILURE,2026-01-01 03:09:51,CUS_001081,MER_00178,3245.39,INR,UPI,DESKTOP,AT_RISK,,0,26.19,0,False,False,526,11,1,0.517449
EVT_00073369,SUBSCRIPTION_FAILURE,2026-01-01 03:10:28,CUS_001502,MER_00082,1512.94,INR,WALLET,MOBILE,AT_RISK,,0,36.91,0,False,False,183,13,3,0.285312
EVT_00060881,CHECKOUT_ABANDONMENT,2026-01-01 03:16:20,CUS_001892,MER_00107,8264.65,INR,NETBANKING,MOBILE,AT_RISK,,0,40.12,399,True,False,0,0,0,0.770585
EVT_00031497,PAYMENT_FAILURE,2026-01-01 03:16:59,CUS_001626,MER_00117,71034.97,INR,UPI,DESKTOP,FAILED,EXPIRED_PAYMENT_METHOD,0,8.16,0,False,False,0,0,0,0.579575
EVT_00077175,PAYMENT_FAILURE,2026-01-01 03:20:13,CUS_000287,MER_00054,2871.46,INR,CARD,DESKTOP,FAILED,INSUFFICIENT_BALANCE,1,20.48,0,False,False,0,0,0,0.313365
EVT_00033516,PAYMENT_FAILURE,2026-01-01 03:22:21,CUS_000183,MER_00128,2316.05,INR,UPI,MOBILE,FAILED,BANK_TECHNICAL_ERROR,0,12.11,0,False,False,0,0,0,0.691632
EVT_00018135,PAYMENT_FAILURE,2026-01-01 03:24:22,CUS_000406,MER_00122,3376.19,INR,UPI,MOBILE,FAILED,INSUFFICIENT_BALANCE,1,40.21,0,False,False,0,0,0,0.210139
EVT_00004690,PAYMENT_FAILURE,2026-01-01 03:25:03,CUS_000550,MER_00109,2327.84,INR,CARD,DESKTOP,FAILED,ISSUER_DECLINE,0,51.2,0,False,False,0,0,0,0.266985
EVT_00007593,SUBSCRIPTION_FAILURE,2026-01-01 03:48:38,CUS_000810,MER_00137,5268.99,INR,UPI,DESKTOP,AT_RISK,,0,57.17,0,False,False,800,17,0,0.637059
EVT_00035981,SUBSCRIPTION_FAILURE,2026-01-01 03:51:02,CUS_000615,MER_00040,2656.96,INR,UPI,DESKTOP,AT_RISK,,0,51.69,0,False,False,761,2,3,0.189909
EVT_00049706,PAYMENT_FAILURE,2026-01-01 03:51:48,CUS_001948,MER_00055,2707.64,INR,UPI,MOBILE,FAILED,INSUFFICIENT_BALANCE,1,11.0,0,False,False,0,0,0,0.240205
EVT_00003495,PAYMENT_FAILURE,2026-01-01 03:57:06,CUS_001135,MER_00164,17943.06,INR,CARD,MOBILE,FAILED,ISSUER_DECLINE,3,49.93,0,False,False,0,0,0,0.141828
EVT_00048941,PAYMENT_FAILURE,2026-01-01 03:58:57,CUS_000205,MER_00170,13932.61,INR,UPI,MOBILE,FAILED,TIMEOUT,3,17.86,0,False,False,0,0,0,0.407393
EVT_00037015,PAYMENT_FAILURE,2026-01-01 04:00:41,CUS_001956,MER_00129,5528.72,INR,WALLET,MOBILE,FAILED,INSUFFICIENT_BALANCE,2,49.99,0,False,False,0,0,0,0.252644
EVT_00056907,PAYMENT_FAILURE,2026-01-01 04:01:36,CUS_000105,MER_00035,6347.15,INR,UPI,DESKTOP,FAILED,TIMEOUT,3,54.51,0,False,False,0,0,0,0.403999
EVT_00019388,PAYMENT_FAILURE,2026-01-01 04:03:22,CUS_001075,MER_00121,1894.29,INR,UPI,MOBILE,FAILED,BANK_TECHNICAL_ERROR,1,45.26,0,False,False,0,0,0,0.568973
EVT_00063437,CHECKOUT_ABANDONMENT,2026-01-01 04:06:08,CUS_001815,MER_00073,4250.62,INR,UPI,MOBILE,AT_RISK,,0,9.56,498,True,False,0,0,0,0.692288
EVT_00058143,PAYMENT_FAILURE,2026-01-01 04:10:39,CUS_000804,MER_00082,15696.91,INR,NETBANKING,MOBILE,FAILED,NETWORK_ERROR,0,33.26,0,False,False,0,0,0,0.614846
EVT_00099639,CHECKOUT_ABANDONMENT,2026-01-01 04:11:38,CUS_001517,MER_00064,8459.27,INR,CARD,MOBILE,AT_RISK,,0,59.71,200,True,False,0,0,0,0.725291
EVT_00054226,PAYMENT_FAILURE,2026-01-01 04:11:53,CUS_001072,MER_00047,24845.58,INR,UPI,TABLET,FAILED,NETWORK_ERROR,1,15.49,0,False,False,0,0,0,0.550219
EVT_00084489,PAYMENT_FAILURE,2026-01-01 04:17:59,CUS_000576,MER_00137,1118.46,INR,CARD,MOBILE,FAILED,INSUFFICIENT_BALANCE,3,46.96,0,False,False,0,0,0,0.131869
EVT_00028905,CHECKOUT_ABANDONMENT,2026-01-01 04:21:48,CUS_000795,MER_00142,4008.47,INR,CARD,MOBILE,AT_RISK,,0,22.93,305,True,False,0,0,0,0.721902
EVT_00097788,SUBSCRIPTION_FAILURE,2026-01-01 04:25:29,CUS_000350,MER_00115,4048.51,INR,UPI,MOBILE,AT_RISK,,0,11.55,0,False,False,671,18,0,0.685604
EVT_00088776,CHECKOUT_ABANDONMENT,2026-01-01 04:29:35,CUS_001402,MER_00140,5121.75,INR,UPI,DESKTOP,AT_RISK,,0,19.03,204,True,False,0,0,0,0.762991
EVT_00031767,CHECKOUT_ABANDONMENT,2026-01-01 04:31:12,CUS_001532,MER_00016,6421.28,INR,CARD,MOBILE,AT_RISK,,0,27.56,862,True,False,0,0,0,0.732574
EVT_00021406,SUBSCRIPTION_FAILURE,2026-01-01 04:32:34,CUS_001570,MER_00147,12664.07,INR,UPI,DESKTOP,AT_RISK,,0,63.31,0,False,False,772,3,2,0.281717
EVT_00020608,CHECKOUT_ABANDONMENT,2026-01-01 04:34:55,CUS_001973,MER_00127,1467.28,INR,UPI,MOBILE,AT_RISK,,0,33.39,647,True,False,0,0,0,0.725644
EVT_00017540,PAYMENT_FAILURE,2026-01-01 04:37:34,CUS_001904,MER_00047,5458.72,INR,UPI,MOBILE,FAILED,ISSUER_DECLINE,2,24.05,0,False,False,0,0,0,0.205868
EVT_00080593,PAYMENT_FAILURE,2026-01-01 04:38:57,CUS_001613,MER_00031,5923.92,INR,NETBANKING,TABLET,FAILED,ISSUER_DECLINE,2,15.65,0,False,False,0,0,0,0.188779
EVT_00008333,PAYMENT_FAILURE,2026-01-01 04:39:44,CUS_001923,MER_00005,6367.67,INR,UPI,MOBILE,FAILED,INSUFFICIENT_BALANCE,2,22.12,0,False,False,0,0,0,0.214751
EVT_00014555,PAYMENT_FAILURE,2026-01-01 04:48:29,CUS_001972,MER_00162,3275.59,INR,WALLET,DESKTOP,FAILED,NETWORK_ERROR,0,51.48,0,False,False,0,0,0,0.615352
EVT_00018831,SUBSCRIPTION_FAILURE,2026-01-01 04:52:38,CUS_000264,MER_00050,2498.63,INR,UPI,MOBILE,AT_RISK,,0,45.81,0,False,False,164,13,2,0.437751
EVT_00003577,SUBSCRIPTION_FAILURE,2026-01-01 04:58:54,CUS_000810,MER_00100,3910.08,INR,CARD,MOBILE,AT_RISK,,0,27.86,0,False,False,184,20,0,0.635617
EVT_00031259,CHECKOUT_ABANDONMENT,2026-01-01 05:02:49,CUS_001136,MER_00171,17871.0,INR,NETBANKING,DESKTOP,AT_RISK,,0,7.63,251,False,True,0,0,0,0.6235
EVT_00047443,SUBSCRIPTION_FAILURE,2026-01-01 05:03:28,CUS_000928,MER_00071,5779.9,INR,UPI,MOBILE,AT_RISK,,0,39.8,0,False,False,493,12,2,0.418282
EVT_00069236,PAYMENT_FAILURE,2026-01-01 05:05:50,CUS_001659,MER_00008,1764.86,INR,WALLET,MOBILE,FAILED,INSUFFICIENT_BALANCE,3,31.1,0,False,False,0,0,0,0.192307
EVT_00082925,SUBSCRIPTION_FAILURE,2026-01-01 05:06:12,CUS_000636,MER_00044,6015.17,INR,CARD,MOBILE,AT_RISK,,0,30.24,0,False,False,197,2,2,0.316036
EVT_00095771,PAYMENT_FAILURE,2026-01-01 05:09:00,CUS_000377,MER_00193,8184.77,INR,CARD,DESKTOP,FAILED,TIMEOUT,3,28.94,0,False,False,0,0,0,0.366421
EVT_00028634,PAYMENT_FAILURE,2026-01-01 05:09:47,CUS_001811,MER_00159,1815.77,INR,UPI,MOBILE,FAILED,PAYMENT_LIMIT,3,3.46,0,False,False,0,0,0,0.209507
EVT_00045815,PAYMENT_FAILURE,2026-01-01 05:17:14,CUS_001361,MER_00074,4441.27,INR,CARD,MOBILE,FAILED,BANK_TECHNICAL_ERROR,2,70.25,0,False,False,0,0,0,0.487461
EVT_00007868,PAYMENT_FAILURE,2026-01-01 05:24:24,CUS_001542,MER_00083,4091.64,INR,UPI,MOBILE,FAILED,TIMEOUT,2,40.55,0,False,False,0,0,0,0.494867
EVT_00035048,CHECKOUT_ABANDONMENT,2026-01-01 05:25:36,CUS_000034,MER_00052,7455.94,INR,CARD,DESKTOP,AT_RISK,,0,24.52,56,True,False,0,0,0,0.718875
EVT_00069611,PAYMENT_FAILURE,2026-01-01 05:27:58,CUS_001921,MER_00103,8444.91,INR,NETBANKING,TABLET,FAILED,INSUFFICIENT_BALANCE,0,50.4,0,False,False,0,0,0,0.37987
EVT_00093963,CHECKOUT_ABANDONMENT,2026-01-01 05:34:05,CUS_000128,MER_00033,11690.87,INR,CARD,MOBILE,AT_RISK,,0,1.07,200,True,False,0,0,0,0.728722
EVT_00044225,CHECKOUT_ABANDONMENT,2026-01-01 05:35:19,CUS_000828,MER_00046,723.87,INR,UPI,MOBILE,AT_RISK,,0,6.3,337,True,False,0,0,0,0.742721
EVT_00051290,SUBSCRIPTION_FAILURE,2026-01-01 05:41:23,CUS_001186,MER_00078,727.12,INR,WALLET,MOBILE,AT_RISK,,0,41.15,0,False,False,188,13,3,0.327858
EVT_00098666,PAYMENT_FAILURE,2026-01-01 05:45:59,CUS_000568,MER_00190,7652.39,INR,CARD,DESKTOP,FAILED,ISSUER_DECLINE,2,7.97,0,False,False,0,0,0,0.218663
EVT_00042250,PAYMENT_FAILURE,2026-01-01 05:51:21,CUS_000984,MER_00170,2739.4,INR,UPI,MOBILE,FAILED,TIMEOUT,2,51.06,0,False,False,0,0,0,0.446497
EVT_00009675,CHECKOUT_ABANDONMENT,2026-01-01 05:54:52,CUS_000356,MER_00187,4000.52,INR,NETBANKING,MOBILE,AT_RISK,,0,35.14,523,True,False,0,0,0,0.767986
EVT_00094223,PAYMENT_FAILURE,2026-01-01 05:58:38,CUS_000334,MER_00178,1685.09,INR,WALLET,MOBILE,FAILED,ISSUER_DECLINE,2,33.25,0,False,False,0,0,0,0.177777
EVT_00060493,PAYMENT_FAILURE,2026-01-01 06:02:31,CUS_001703,MER_00014,2950.04,INR,UPI,MOBILE,FAILED,PAYMENT_LIMIT,0,26.56,0,False,False,0,0,0,0.395211
EVT_00070441,CHECKOUT_ABANDONMENT,2026-01-01 06:05:05,CUS_001415,MER_00026,2087.41,INR,CARD,MOBILE,AT_RISK,,0,42.37,766,True,False,0,0,0,0.726323
EVT_00026390,PAYMENT_FAILURE,2026-01-01 06:06:18,CUS_001586,MER_00142,9305.13,INR,UPI,MOBILE,FAILED,PAYMENT_LIMIT,2,51.17,0,False,False,0,0,0,0.29391
EVT_00088508,CHECKOUT_ABANDONMENT,2026-01-01 06:09:34,CUS_001029,MER_00168,931.37,INR,CARD,MOBILE,AT_RISK,,0,18.89,478,False,False,0,0,0,0.538989
EVT_00071767,PAYMENT_FAILURE,2026-01-01 06:12:10,CUS_001821,MER_00173,2965.8,INR,CARD,MOBILE,FAILED,PAYMENT_LIMIT,2,32.64,0,False,False,0,0,0,0.274772
EVT_00035712,SUBSCRIPTION_FAILURE,2026-01-01 06:18:47,CUS_001652,MER_00129,5073.91,INR,CARD,MOBILE,AT_RISK,,0,42.8,0,False,False,893,9,3,0.345459
EVT_00045935,PAYMENT_FAILURE,2026-01-01 06:24:27,CUS_001250,MER_00194,1737.69,INR,CARD,MOBILE,FAILED,INSUFFICIENT_BALANCE,2,20.84,0,False,False,0,0,0,0.17712
EVT_00055418,PAYMENT_FAILURE,2026-01-01 06:25:38,CUS_000387,MER_00153,2334.33,INR,UPI,DESKTOP,FAILED,EXPIRED_PAYMENT_METHOD,3,55.96,0,False,False,0,0,0,0.215405
EVT_00038659,PAYMENT_FAILURE,2026-01-01 06:32:05,CUS_001629,MER_00081,2979.44,INR,NETBANKING,MOBILE,FAILED,BANK_TECHNICAL_ERROR,1,37.38,0,False,False,0,0,0,0.559966
EVT_00072857,PAYMENT_FAILURE,2026-01-01 06:33:37,CUS_001062,MER_00120,3508.19,INR,NETBANKING,DESKTOP,FAILED,ISSUER_DECLINE,3,21.08,0,False,False,0,0,0,0.158649
EVT_00016084,PAYMENT_FAILURE,2026-01-01 06:34:56,CUS_001297,MER_00008,2507.88,INR,NETBANKING,MOBILE,FAILED,TIMEOUT,3,52.0,0,False,False,0,0,0,0.3869
EVT_00044394,PAYMENT_FAILURE,2026-01-01 06:35:18,CUS_000452,MER_00093,1513.04,INR,CARD,DESKTOP,FAILED,ISSUER_DECLINE,2,44.07,0,False,False,0,0,0,0.192201
EVT_00041245,PAYMENT_FAILURE,2026-01-01 06:36:11,CUS_000230,MER_00090,4520.28,INR,NETBANKING,MOBILE,FAILED,INSUFFICIENT_BALANCE,1,34.33,0,False,False,0,0,0,0.307512
EVT_00070443,PAYMENT_FAILURE,2026-01-01 06:36:24,CUS_001333,MER_00071,2242.73,INR,CARD,DESKTOP,FAILED,EXPIRED_PAYMENT_METHOD,0,26.57,0,False,False,0,0,0,0.456398
EVT_00007992,PAYMENT_FAILURE,2026-01-01 06:40:20,CUS_000837,MER_00054,2758.63,INR,WALLET,MOBILE,FAILED,TIMEOUT,1,61.17,0,False,False,0,0,0,0.540917
